"domanda","opzioneA","opzioneB","opzioneC","opzioneD","soluzione","motivazione"
"23. When transmitting on an Ethernet network, a station sends a ""jamming sequence"" if:","The current trasmission was succesfull","It wants to ""reinforce"" a collision","It wants to take the ownneship of the channel","It wants to release the channel","B","A jamming sequence ensures that all stations on the collision domain can clearly detect that a collision has occurred."
"24. After a collision on an Ethernet network:","All the stations can immediately compete for the ownership of the physical channel for a new transmission","The stations that generate the collision (and only these ones) can compete for the ownership of the physical channel","Stations that generated the collision must wait a random time, called ""back-off"", before competing again for the ownership of the physical channel","Only the station that generated collision (i.e., the station that started transmit later) must wait a random time, called ""back-off"", before competing again for the ownership of the physical channel","C","The CSMA/CD protocol requires involved stations to wait a random back-off timer before attempting transmission again."
"25. In order to detect collisions on an Ethernet network, we need to consider:","Distance among stations, minimum frame size, signal propagation speed","Distance among stations, link bandwidth, minimum frame size","Distance among stations, link bandwidth, minimum frame size, signal propagation speed","Number of stations on the network, collision detection speed, minimum duration of the transmission","C","Collision detection relies on the frame transmission lasting longer than the maximum round-trip propagation delay of the network."
"26. To distinguish an Ethernet 2.0 (DIX) frame from an IEEE 802.3 frame:","We can check the ""Version"" field at the beginning of frame","We can check the value of the 2 bytes corresponding to the ""Ethertype"" field in Ethernet 2.0 (or ""Length"" field in IEEE 802.3)","We can calculate the size of the data carried in the frame; in case this value is is lower than 64 bytes, the frame is IEEE 802.3, otherwise it is Ethernet 2.0","We can look at the possible presence of an LLC SNAP envelope, that is only present in the IEE 802.3 frame","B","A value > 1536 indicates an EtherType (Ethernet II format), while a value <= 1500 indicates payload Length (802.3 format)."
"27. Frames Ethernet 2.0 (DIX) and IEEE 802.3:","Are not compatible and have different sizes for the minimum frame","Are compatible, even if they have different sizes for the minimum frame","Are compatible, even if they have different sizes for the maximum frame","Are compatible, even if only the second can contain the ""Padding"" field","D","They can coexist on the same wire, though 802.3 specifically defines a padding field for undersized frames."
"28. In Ethernet, the Inter-frame gap is:","The required silence between a frame and the following","Empty data within the frame, which allow reaching the minimum frame size needed to detect a collision","The set of bytes sent on the channel acting as end frame delimiter","The time needed to send the bytes of the preamble (up to 7 bytes maximum)","A","The Inter-frame gap is a mandatory 96-bit idle period between frames, allowing network receivers to recover and process."
"29. The maximum collision diameter in an Ethernet network:","Can be seen as the maximum length of a link between a host and a hub","Can be seen as the maximum length of a link between a host and a bridge","Does not change even if hubs are replaced by bridges in the network","It is approximately 200m in case of copper cables","B","Bridges and switches segment collision domains, so the maximum collision diameter is restricted between the host and the bridge."
"30. What does it happen to a PC with its network interface in Full Duplex Fixed mode if it is connected to a switch with its network interface in auto-negotiation mode?","The interface of the switch goes in half duplex mode and it may detect some fake collisions","The interface of the switch goes automatically into Full Duplex Mode","PC and switch will never be able to communicate","PC and switch will communicate without problems","A","If auto-negotiation fails, the switch defaults to half-duplex, resulting in a duplex mismatch and collisions."
"31. The handshake of the transmission speed among two Ethernet interfaces takes place:","At layer 1","At layer 2","At layers 1 & 2","Partially at layer 1 and partially at layer 2","A","Auto-negotiation operates purely at the physical layer using Fast Link Pulses."
"32. In an Ethernet network based entirely on switches with all links in Full Duplex Mode, how many collisions we may experience?","It depends on the size of the network","It depends on the number of the switches","It depends on the number of connected PCs","We do not have collisions","D","Full-duplex micro-segmentation completely disables CSMA/CD, eliminating the possibility of collisions."
"33. The loss of connectivity between two L2 entities (e.g. host or switch), directly connected, can be immediately detected at the physical layer if the link is in:","Full duplex","Half duplex","Full duplex, with the other side of the link connected to a switch","Generally it cannot be detected","A","Full-duplex links constantly exchange idle signals on dedicated transmit/receive pairs, detecting physical link drops instantly."
"34. A broken network cable can be immediately detected at the physical layer if the link is in:","Full duplex","Half duplex","Full duplex, with the other side of the link connected to a switch","Generally, a broken network cable will be immediately detected by the entities directly connected to the two edges of the cable itself","D","Point-to-point electrical links instantly detect a loss of carrier signal at the edges of the connection."
"35. The network is defined as ""switched"" when:","It contains only switches and end stations","It contains switches, hubs and end stations","It contains at least one router","It is based on a shared physical medium for communication","A","A purely switched network eliminates hubs, replacing all shared collision domains with dedicated switchports."
"36. In a switched network:","Loosing frames is a rare event thanks to the high speed of the switch","There are no lost frames thanks to the fact that there are no collisions","The number of lost frames may not be negligible because of congestions on the switches","There are no lost frames thanks to the use of Spanning Tree protocol","C","Although collisions are gone, switch port buffers can overflow during heavy microbursts or congestion, causing dropped frames."
"37. Switches:","Usually have a single MAC address for the entire device","Have one MAC address per physical port","Do not have any MAC address (they are ""transparent"" indeed)","Have one MAC address per physical port plus one for each configured VLAN","A","Switches have a base system MAC address used for management traffic and Spanning Tree BPDUs."
"38. One of the reasons that motivates a network designer to use VLANs is:","Faster frame forwarding","Broadcast traffic reduction","Simplified management of Spanning Tree","Collision reduction","B","VLANs logically segment the network, isolating and shrinking broadcast domains to improve efficiency."
"39. Two PCs belonging to two different VLANs:","Can communicate normally by sending Ethernet frames directly to the other party","Can never send Ethernet frames directly to the other party","One of the two PCs must use a network interface with VLAN IEEE 802.1q tags support","Both PC must use a network interface with VLAN IEEE 802.1q tags support","B","Due to Layer 2 isolation, inter-VLAN communication strictly requires a Layer 3 routing device."
"40. Two PCs directly connected to the same Hub (repeater):","Cannot belong to the different VLAN","Will always belong to the same VLAN","Can belong to different VLANs if they use a network interface compatible with the IEEE 802.1q standard","Can belong to different VLANs if they use a network interface compatible with the IEEE 802.1q standard, but there may be some delivery problem with respect to large packets","D","Endpoints can process 802.1Q tags directly, but hubs forward the frames verbatim, which can cause MTU issues if the frames exceed standard lengths."
"41. Two stations configured in ""trunk"" mode and belonging to the same VLAN are connected to the same switch that does not support the IEEE 802.1q (VLAN) standard:","The stations cannot exchange data unless a router is being used","The stations cannot exchange data even if a router is being used","The stations can always exchange data even if a router is not being used","The stations can always exchange data even if a router is not being used, but there may be some delivery problem with respect to large packets","D","An unaware switch simply treats 802.1Q tagged frames as normal payload data, provided the increased frame size doesn't exceed its MTU."
"42. According to the IEEE 802.1q (VLAN) standard, the connection between two switches:","It can be only of type ""Trunk""","It must never be of type ""Trunk""","It could be of type ""Access""","It could be of type ""Access"" only if the corresponding ports on the two switches are part of the same VLANS","C","A connection between switches can be an Access link if it only needs to bridge a single, untagged VLAN."
"43. According to the IEEE 802.1q, the GVRP protocol (GARP VLAN Registration Protocol) is useful to:","Propagate automatically over the whole network the information about the existing VLANS","Assign to packets belonging to different VLANs different priorities","Configure dynamically the ports of a switch based on the configuration obtained from the network interface of the PC at the other side of the cable","Register the traffic of different VLANs","A","GVRP allows switches to dynamically register and share VLAN configuration information across the bridging domain."
"44. According to the IEEE 802.1q standard, VLANs are configured on the switch:","On each port through an appropriate operation","By the manufacture and it is not possible to modify its configuration","By the manufacture and it is possible to change VLANs just for a restricted number of ports","Only on Trunk ports","A","VLAN membership is fundamentally a port-based configuration applied by the administrator."
"45. According to the IEEE 802.1q, the membership of a PC to a specific VLAN can be derived from:","The MAC address of the network interface of the PC, independently from the configuration of the switch","The IP address of the network interface of the PC, independently from the switch configura- tion","The MAC and IP addresses of the network interface of the PC, independently from the switch configuration","The configuration of the port on the switch connected to the PC","D","Standard VLAN membership is entirely dictated by the access VLAN assigned to the switchport."
"46. A port is of type ""Trunk"" when:","It transmits only frames that do not include the IEEE 802.1q tag","It transmits only BPDU frames","It transmits only frames that include the IEEE 802.1q tag","It transmits only BPDU frames that includes the IEEE 802.1q tag","C","Trunk ports use 802.1Q tags to multiplex and carry frames for multiple VLANs over a single link."
"47. When Broadcast Storm occurs within a VLAN:","The other VLANs are protected and do not perceives in any way this problem","The broadcast storm occurs also in the other VLANs","The broadcast storm occurs also in the other VLANs, unless a priority mechanism is being used to privilege the traffic of those VLANs","The other VLAN may suffer from delays because of the traffic on the trunk links","D","The broadcast storm is logically contained to its own VLAN, but it can saturate the bandwidth of shared physical trunk links."
"48. The Spanning Tree protocol is used to:","Transform a network containing meshes into a tree, canceling loops","Manage multiple paths in load-balancing, providing redundancy in the network","Optimize the forwarding process","Update the filtering database","A","STP logically blocks redundant paths to prevent Layer 2 loops, transforming a meshed topology into a loop-free tree."
"49. The Spanning Tree protocol operates sequentially according to the following phases:","Root Ports selection, Root Bridge selection, Designated Ports selection","Root Bridge selection, Designated Ports selection, Root Ports selection","Root Bridge selection, Root Ports selection, Designated Ports selection","Root Ports selection, Designated Ports selection, Root Bridge selection","C","STP converges by first electing the Root Bridge, then identifying Root Ports on non-root bridges, and finally electing Designated Ports for segments."
"50. The Spanning Tree Protocol can have two types of Bridge Protocol Data Unit (BPDU) frames:","Configuration and Topology Change Notification","Configuration and Topology Advertisement","Topology Change Notification and Topology Advertisement","Root Bridge Election and Topology Advertisement","A","Configuration BPDUs build and maintain the tree, while TCN BPDUs trigger MAC table flushes during topology changes."
"51. During the selection of the Root Bridge, the Spanning Tree process operates by analyzing the value of the following field present in the BPDU:","Root Identifier","Root Path Cost","Port Identifier","Bridge Priority","A","The Root Identifier field combines Bridge Priority and MAC address; the switch with the lowest value wins."
"52. According to the standard, the tree obtained by the Spanning Tree Protocol is computed:","Starting from the physical topology of the network, independently from the VLANS","Starting from the already configured VLANS","Starting from the already configured VLANs, creating a different tree for every VLAN","Starting from the physical topology of the network, taking into account the already configured VLANS","A","Standard 802.1D computes a single Common Spanning Tree (CST) across the physical topology, regardless of VLANs."
"53. We need the Spanning Tree because:","The learning process in bridges cannot operate when the L2 network contains loops","The forward learning process in bridges is not optimized in case of multiple paths toward the destination","In case the network contains multiple paths, the load balancing algorithm can generate frame reordering problems in the destination host","Frames can circulate forever since the Time-To-Live field in the Ethernet frame is not decremented by bridges","A","Without STP, L2 loops cause endless frame circulation and MAC address thrashing because Ethernet has no TTL field."
"54. Given two bridges connected to the same L2 network, in which the Bridge Identifiers are 32768-00:11:22:33:44:55 and 28672-00:22:33:44:55:66:","The first will become the root bridge","The second will become the root bridge","The value 28672 is not a valid Bridge Priority","The second bridge will become root for the VLAN 0, while the first will become root bridge for all the other VLANs","B","In STP elections, a lower Bridge Priority value takes precedence (28672 is less than 32768)."
"55. Differently from the Spanning Tree Protocol, the Rapid Spanning Tree Protocol:","Supports networks that include Layer-1 hubs","Guarantees fast convergence time","Allows to use fiber optic in the network","Allows to use different VLANs in the network","B","RSTP (802.1w) introduces immediate port state transitions, cutting convergence time from 50 seconds to a few seconds."
"56. When a switch detects that one of its links gets interrupted, the Rapid Spanning Tree Protocol deletes the corresponding entries in the forwarding database:","When the forward delay timer expires","When the max age timer expires","Immediately","It will set the aging time of those entries to (Max Age Forward Delay) and then waits for them to expire","C","To ensure rapid reconvergence, RSTP flushes MAC address entries immediately upon detecting a topology change."
"57. The Rapid Spanning Tree protocol can guarantees a faster convergence if:","All the links are point-to-point","All the links operate in full-duplex mode","The network does not contain circular paths","The network is structured in a tree-like fashion","B","Full-duplex point-to-point links allow RSTP to bypass listening/learning states and transition to forwarding immediately."
"58. The Multiple Spanning Tree protocol is useful because:","It reduces the broadcast domain of the network by dividing it into areas called Regions","It works in networks that include hubs","It guarantees faster convergence time with respect to STP and RSTP","It makes the network more scalable, by dividing it into areas called Regions","D","MSTP scales efficiently by grouping multiple VLANs into a few spanning tree instances (Regions), reducing CPU load."
"59. According to the IEEE 802.1p standard, the priority can be associated to a packet:","Only by the port of the switch","Only by a network interface (NIthat support this type of function","Either by the port on the switch or by a network interface (NIthat support this function","Only by the application that generates the traffic","C","802.1p QoS bits can be marked either by the ingress switchport or inherently by a compatible endpoint NIC."
"60. The port of the switch connected to a station that is able to associate the ""priority"" to packets must be:","In Trunk or Access mode","Only in Trunk mode","Only in Access mode","One side of the cable in Trunk mode and the other one in Access","B","802.1p priority bits are carried inside the 802.1Q tag, thus requiring a trunk or tagged port configuration."
"61. The 802.1p standard defines:","Several classes of service for different kinds of traffic","Several priorities for different kinds of traffic","A Best-Effort class at lower priority with other ones (configurable as you want) at higher priority","A group of traffic classes served by a Round Robin scheduler","A","802.1p defines 8 separate Classes of Service (CoS) values to prioritize different types of Layer 2 traffic."
"62. The 802.3x standard defines:","A Pause packet to be used in case of host congestion","A Pause packet to be used in case of network congestion","A Pause packet to be used in case of congestion (host or switch)","A mechanism to assign priority to voice traffic","C","802.3x flow control allows a congested node to send PAUSE frames to halt incoming traffic and prevent buffer overflow."
"63. The Pause packet in the 802.3x standard:","Is sent to the transmitting host in order to reduce the amount of traffic injected in the network","Is sent to the transmitting host in order to stop temporarily the traffic injected in the network","Is sent to the device connected at the other side of the link in order to reduce the amount of traffic injected in the network","Can cause temporary interruptions of the network traffic","D","PAUSE frames force the sender to halt transmission completely, which can cause jitter and temporary traffic interruptions."
"64. In a campus network with a 10Gbps backbone, in which we want to transport also voice traffic:","You do not need to configure any QoS mechanism","It is recommended to implement the 802.3x standard (Pause packets)","It is recommended to implement the 802.1p standard associating the highest priority to the voice traffic","It is reasonable to implement the 802.1p standard associating a portion of the transmission bandwidth to the voice traffic (""Round Robin"" scheduler)","D","Using 802.1p scheduling ensures latency-sensitive voice traffic is served adequately without being dropped."
"65. The IEEE 802.3ad standard (Link Aggregation) allows to:","Increase the bandwidth on a single point-to-point connection","Create a redundant point-to-point connection, without increasing the bandwidth","Create a redundant point-to-point connection and increase the bandwidth","Create a redundant point-to-point connection","C","LACP bundles multiple physical links into one logical connection, increasing overall throughput and providing failover redundancy."
"66. In the IEEE 802.3ad standard (Link Aggregation):","Both devices at the two ends of the link must support the 802.3ad standard","Defines a maximum number of ports that can be part of the logic aggregation","Requires that at least one of the devices at the two ends of the link supports the 802.3ad standard","Allows the links that are part of a logical aggregation to have different speeds","A","LACP is a negotiation protocol; both connected endpoints must actively support and agree to aggregate the links."
"67. The IEEE 802.3ad standard (Link Aggregation) has some limitations:","It exists a maximum number of ports that can be part of the logic aggregation","The aggregation can be used only on full duplex links","The aggregation can be used only on half duplex links","The links that are part of an aggregation must have different speeds","B","Link aggregation demands that all physical members of the bundle operate strictly in full-duplex mode."
"68. The IEEE 802.3ad standard (Link Aggregation) has some limitations:","On the maximum number of ports that can be part of the logic aggregation","On the load balancing traffic criteria, that must be necessarily based on L2 information","On the links that are part of the aggregation, that must have the same speed","On the use of the Spanning Tree Protocol, that is not supported on logical aggregated links","C","To function properly, all physical links grouped in an aggregate must operate at identical speeds and duplexes."
"69. A motivation for the IEEE 802.3ad standard (Link Aggregation) is:","Allows to create a redundant connection in addition to a existing point-to-point link","Allows the concurrent usage of multiple links between 2 switches even in presence of the Spanning Tree Protocol","Makes the update of the filtering database faster, even when the Spanning Tree Protocol is used","Avoids congestions in the network due to the better utilization of the available bandwidth","B","LACP hides the redundancy from STP; instead of blocking extra links, STP sees them as a single logical forwarding link."
"70. In case of the Link Aggregation standard, identify which sentence is wrong:","The links that are grouped in the same logical aggregate must have the same speed","The links that are grouped in the same logical aggregate must operate in full-duplex mode","The links that are grouped in the same logical aggregate must be attached to the same devices (unless some virtualization technologies such as Cisco VSS are used)","The links that are grouped in the same logical aggregate must be connected to a switch whose ports have the same Port Priority","D","While links must match speed and duplex, individual Port Priorities do not strictly have to be identical to form a bundle."
"71. The IGMP Snooping mechanism allows:","To detect the presence of hosts over the LAN that are member of a multicast IPv6 group","To detect the presence of hosts over the LAN that are member of a multicast IPv4 group","To detect the presence of hosts over the LAN that are member of a multicast IPv6 or IPv4 group","To detect the presence of hosts over the LAN that are member of a IPv4 or IPv6 network","B","IGMP Snooping listens to IPv4 IGMP messages to constrain Layer 2 multicast flooding. (MLD Snooping is used for IPv6)."
"72. The IGMP Snooping function:","Is normally implemented on all level 3 devices present on the LAN","Is normally implemented on level 2 devices present on the LAN","Is needed in order to debug the possible multicast traffic present on the LAN","Is occasionally used in modern devices, whereas it was important in the past","B","It is a Layer 2 optimization feature running on switches to intelligently forward multicast traffic only to interested ports."
"73. In the IGMP Snooping function:","Router intercepts IGMP membership Report packets","Switch intercepts IGMP membership Report packets","Router intercepts both IGMP membership Query/Report packets","Switch intercepts IGMP membership Query/Report packets","D","The switch intercepts both Queries (from routers) and Reports (from hosts) to build its multicast forwarding table."
"74. The IGMP Snooping function:","Affects all multicast traffic on the LAN","Affects all IP multicast traffic on the LAN","Affects a part of IP multicast traffic on the LAN","Affects the part of IP multicast traffic that does not make use of the IGMP protocol","C","It optimizes specifically those IP multicast groups that hosts have explicitly joined via the IGMP protocol."
"75. The HSRP and VSRP protocols are used to:","Propagate automatically the information related to the presence of VLANs in the network","Assign different priorities to packets belonging to different VLANs","Manage automatically the configuration (trunk/access) of the switch ports according to the configuration of the network interface of the PC connected on the other side of the cable","Provide default gateway redundancy","D","HSRP and VRRP provide a virtual IP and MAC to serve as a highly available, redundant default gateway for hosts."
"76. A LAN in which the VRRP/HSRP protocols are active:","ARP replies are generated by the two routers in load balancing","ARP replies are always generated by the router that booted first","ARP replies are always generated by the primary router","ARP replies are always generated in multi cast","C","The Active (HSRP) or Master (VRRP) router temporarily owns the virtual MAC and exclusively replies to ARP requests."
"77. The track functionality of the HSRP protocol can be used to:","Set automatically the IP address of the HSRP virtual router","Set dynamically the MAC address of the HSRP virtual router","Influence the selection of the interface in Active state according to the status of another interface","Influence the selection of the interface in Active state according to the IP address configured on the router","C","Tracking allows a router to decrement its HSRP priority if an external uplink fails, triggering a failover to the standby."
"78. HSRP messages are encapsulated in:","TCP","UDP","Directly into IP packets","Directly into Ethernet frames","B","HSRP uses UDP port 1985 to transmit its hello messages between peers."
"79. VRRP messages are encapsulated in:","TCP","UDP","Directly into IP packets","Directly into Ethernet frames","C","VRRP is encapsulated directly over IP, using IP protocol number 112."
"80. In HSRP, the two main routers in a LAN can assume the following states:","Master or Slave","Active or Standby","Master or Backup","Active or Inactive","B","HSRP terminology designates the primary router as 'Active' and the backup as 'Standby'."
"81. In VRRP, the routers in a LAN can assume the following states:","Master or Slave","Active o Standby","Master or Backup","Active or Inactive","C","VRRP terminology designates the primary router as 'Master' and the backup as 'Backup'."
"82. In the transmission of HSRP messages, the TTL field of the corresponding IP packet is set:","To a random value; when the packet arrives to the router it will be discarded automatically, thus avoiding the forwarding out of the LAN","To value ""255"" and the routers are forced to discard HSRP messages that contain a TTL different from 255","To value ""0"", thus avoiding that the packet is forwarded out of the LAN","To value ""1"", thus avoiding that the packet is forwarded out of the LAN","D","A TTL of 1 ensures that HSRP multicasts stay strictly within the local broadcast domain and are not routed outward."
"83. In the transmission of VRRP messages, the TTL field of the corresponding IP packet is set:","To a random value; when the packet arrives to the router it will be discarded automatically, thus avoiding the forwarding out of the LAN","To value ""255"" and the routers are forced to discard HSRP messages that contain a TTL different from 255","To value ""0"", thus avoiding that the packet is forwarded out of the LAN","To value ""1"", thus avoiding that the packet is forwarded out of the LAN","B","VRRP enforces a TTL of 255; if a packet arrives with a lower value, it implies remote routing (a potential spoofing attempt) and is dropped."
"84. In the HSRP protocol, the load balancing functionality on geographical links:","Is provided automatically","Is provided automatically only for the traffic exiting towards the Internet","Is provided automatically only for the incoming traffic in the LAN","Is not under the control of the HSRP protocol","D","Load balancing is not inherent to basic HSRP; it requires manual configuration via Multiple HSRP (MHSRP) groups."
"85. In case of failure of a geographical link connected to an HSRP router in Active state:","The HSRP protocol might change the status of the interface in Active state when the function ""track"" is enabled","The HSRP protocol automatically elects the other router as Active","The HSRP protocol will not change the status of the routers (i.e. the current router will still be Active)","The HSRP protocol will send an ICMP Router Redirect message to all the hosts on the LAN in order to force them to change their default gateway and to use the second router","A","If interface tracking is configured, the failed link causes the Active router to lower its priority, allowing the Standby to preempt."
"86. The phenomenon of flooding of packets on networks that have a redundant default gateway managed by HSRP:","Can occur when there are asymmetric paths (ingress/ egress) of traffic","Can happen only in case of problems on the Spanning Tree Protocol","Can happen only in case some broadcast frames are transmitted","Can never happen","A","Return traffic mapped to the Standby router causes flooding because the Standby router's MAC table hasn't learned the internal endpoints."
"87. We usually define a wire-speed (or full-speeLayer-3 switch if it is able to:","Send packets only in full-duplex mode","Send packets only in half-duplex mode","Send packets in both full-duplex and half-duplex mode","Forward an amount of packets equal to the traffic received on all its network interfaces at the same time and at their full rate","D","Wire-speed implies hardware ASICs can process and route packets identically to the physical maximum ingress rate of the ports."
