"domanda","opzioneA","opzioneB","opzioneC","opzioneD","soluzione","motivazione"
"Tra AS (Autonomous System) si può utilizzare il protocollo di instradamento","BGP (Border Gateway Protocol)","RIP (Routing Information Protocol)","OSPF (Open Shortest Path First)","","A","L’interscambio di informazione tra router appartenenti ad AS differenti avviene attraverso il protocollo di routing di tipo BGP."
"Nel modello OSI, una (N)-connessione","Può essere realizzata mediante una o più (N-1)-connessioni","E’ terminata da due (N-1)-CEP","Può essere realizzata mediante una o più (N+1)-connessioni","Può essere realizzata solamente mediante più (N-1)-connessioni","A","Per definizione un (N)-strato fornisce servizi ad (N+1)-strati. Ciò significa che il suo utente (lo strato N+1) prima di poter usare il servizio dovrà richiedere una connessione. Ad un N strato possono corrispondere diverse N-1 connessioni."
"Rispetto allo standard Ethernet a 10 Mbit/s, nella definizione di Ethernet a 100Mbit/s il protocollo MAC","E’ stato modificato per consentire la rilevazione più efficiente delle collisioni","E’ stato modificato introducendo un meccanismo per evitare le collisioni, migliorare le prestazioni e supportare servizi in tempo reale","E’ stato mantenuto inalterato, accettando la riduzione di un fattore dieci (circa) detta “collision domain”","E’ stato mantenuto inalterato, mantenendo inalterata la dimensione massima aumentando di un fattore dieci le dimensioni minime della trama","C","Vedi lucidi su MAC."
"La metrica (costo) in un algoritmo di instradamento","Esprime il peso da assegnare ad un (canale) link nella selezione del cammino","Esprime la complessità di calcolo dell’algoritmo","Esprime la probabilità che venga utilizzato il cammino più breve","","A","Vedi lucidi."
"I vantaggi dei servizi di tipo circuito virtuale rispetto ai servizi di tipo datagram in una rete a commutazione a pacchetto sono","Minore ritardo dei pacchetti, calcolo dell’instradamento per ogni pacchetto","Minore variabilità dei ritardi dei pacchetti, mantenimento della sequenza dei pacchetti, instradamento per ogni pacchetto","Minore variabilità dei ritardi dei pacchetti, mantenimento della sequenza dei pacchetti, instradamento solo in fase di apertura della connessione","","C","I vantaggi dei servizi su circuito virtuale rispetto ai servizi su datagram sono: mantenimento della sequenza (faccio sempre lo stesso percorso), minore variabilità dei ritardi (solo ritardo di elaborazione), instradamento soltanto in fase di apertura della connessione. Vedi lucidi “Servizio su circuito virtuale”. Learning 0"
"Quale delle seguenti affermazioni è vera riguardo ai Transparent Bridge IEEE 802.1d?","L’instradamento segue criteri di “backward learning” e di flooding (ad inondazione)","L’instradamento si basa sullo scambio di tabelle di instradamento tra i bridge","L’instradamento avviene sempre in modo flooding (ad inondazione)","","A","(Fonte Internet). Standard reti locali, pag.41"
"Rispetto a Fast Ethernet a 100 Mb/s (100Base T), Ethernet a 1 Gb/s permette di rispettare i vincoli temporali sul riconoscimento delle collisioni","Diminuendo la distanza tra i nodi","Imponendo la fibra ottica come mezzo trasmissivo","Aumentando la dimensione minima delle PDU","","C","passando ad 1Gb/s per mantenere Tempo Trasmissione > RTT andando ad agire sui tempi di propagazione ci sarebbe necessità di distanze minime tra gli host (poche decine di metri), l’unica soluzione è aumentare la dimensione minima delle PDU così da aumentare Tempo Trasmissione., Aumentando la dimensione minima delle PDU, il tempo necessario per trasmettere un pacchetto aumenta, consentendo una maggiore possibilità di rilevare e gestire le collisioni nella rete."
"Rispetto a sorgenti di tipo CBR (Constant Bit Rate), le sorgenti di tipo VBR (Variable Bit Rate)","Hanno maggiore differenza tra massima e minima velocità di trasmissione","Hanno requisiti più stringenti sul ritardo massimo","Hanno requisiti più stringenti sul ritardo medio","","A","CBR viene usato nelle videoconferenze (velocità di 64kb/s). VBR viene usato per lo streaming e il file transfer (per il primo ordine dei Mb/s per il secondo ordine dei kb/s a Gb/s)."
"Il recupero di errore end-to-end in ambiente Internet, quando presente,","È effettuato sempre e solo dai processi applicativi","È effettuato al livello Transport (trasporto)","È effettuato al livello Internet (rete)","Non è previsto per nessun tipo di servizio","B","L’end-to-end è uno dei principi della progettazione delle reti di computer e viene applicato su diversi protocolli di rete come nel protocollo UDP(Protocollo di livello 4, livello trasporto). (Fonte Wikipedia)."
"Il protocollo POP3","E’ utilizzato per il blocco dei pop-up in un browser web","E’ utilizzato per lo scambio di messaggi di posta elettronica tra mail server","Può essere usato per trasferire messaggi di posta elettronica da un server ad un client email installato su un PC","Utilizza messaggi che includono sempre una autenticazione crittografata","C","Il Post Office Protocol (POP) è un protocollo di livello applicativo di tipo client-server che ha il compito di permettere l’accesso da parte di un client ad un account di posta elettronica presente su di un host server e scaricare le e-mail dell’account stesso. La B si riferisce al protocollo SMTP."
"Che cosa si intende per il dominio di collisione (collision domain) in Ethernet?","La porzione di rete entro la quale viene rilevata una stessa collisione","Il numero di bit dell’intestazione dei pacchetti che possono essere danneggiati da una collisione","L’insieme dei nodi che interrompono la trasmissione a causa di una collisione","","A","Dominio di collisione: porzione di rete in cui due trame collidono. Vedi lucidi “Dominio di collisione”."
"In una sottorete IP (Logical IP Subnet)","Gli host condividono lo stesso prefisso di rete","Il prefisso di rete è sempre costituito dai primi tre byte dell’indirizzo","Gli host comunicano sempre passando attraverso il router","","A","In una rete tutte le sottoreti create dovranno avere lo stesso indirizzo di rete. La B è errata dato che non necessariamente il prefisso di rete è costituito nei primi 3 byte."
"Nel modello di riferimento OSI una (N)-PCI può contenere","(N)-indirizzi","(N+1)-indirizzi","(N-1)-indirizzi","","A","Si tratta dell’header di quel livello che può contenere solo indirizzi di livello N. Sarà la N-SDU a contenere (N+1) indirizzi."
"Il bit P/F(Poll/Final) delle trame nel protocollo di strato 2 LaPB","Fornisce una conferma implicita sulle trame non ancora confermate","Permette di sollecitare l’invio di una conferma da parte del ricevitore","Accelera la trasmissione delle informazioni","","B","Il campo Poll e Final è un solo bit e ha due utilizzi. È chiamato Poll se viene usato dalla stazione primaria per chiedere una risposta alle stazioni secondarie, invece Final quando viene usato da una stazione secondaria per indicare una risposta al termine della trasmissione. Ha significato solo se impostato a 1. (Fonte Wikipedia)."
"Quali dei seguenti protocolli non realizza funzioni di delimitazione delle unità dati?","LaPB (Link access Procedure Balanced), utilizzato nel canale B ISDN","LaPF (Link access Producer to Frame-mode bearer services), utilizzato nelle reti Frame Relay","PPP (Point-to-Point Protocol), utilizzato nell’accesso domestic ad Internet","IEEE 802.2 LLC (Logical Link Control), utilizzato nelle reti locali","D","I delimitatori vengono inseriti successivamente dal protocollo MAC. Vedi lucidi “IEEE 802.2 Logical Link Control”."
"Che cosa è indispensabile per Ethernet in modalità full-duplex?","La possibilità di ricevere e trasmettere simultaneamente pacchetti","La disponibilità di tecniche di protezione da guasti attraverso due percorsi disgiunti tra ogni coppia di nodi","Il pieno supporto sia alla velocità di 10 Mbit/s sia alla velocità di 100 Mbit/s","","A","Un mezzo fisico full-duplex ha la caratteristica che trasmissione e ricezione avvengono su cavi separati. Questo mi porta a poter ricevere e trasmettere simultaneamente pacchetti."
"Le caratteristiche di una topologia ad albero sono","Basso numero di canali, cattiva tolleranza ai guasti, instradamento facile","Basso numero di canali, buona tolleranza ai guasti, instradamento facile","Elevato numero di canali, buona tolleranza ai guasti, instradamento difficile","","A","Vedi lucidi “Topologia ad albero”."
"Gli indirizzi IP versione 4 sono:","Di lunghezza totale fissa, composti da una parte di lunghezza variabile che identifica la rete e da una parte di lunghezza variabile che identifica l’host","Di lunghezza totale fissa, composti da una parte di lunghezza fissa che identifica la rete e da una parte di lunghezza fissa che identifica l’host","Di una lunghezza variabile, composta da una parte di lunghezza variabile che identifica la rete e da una parte di lunghezza variabile che identifica l’host","","A","Definizione IPV4. Vedi lucidi “IPV4”."
"In reti a commutazione di pacchetto di tipo Store-And-Forward, l’uso di PDU (pacchetti) di grandi dimensioni:","Diminuisce la probabilità di perdere informazione per errore sui bit ricevuti","Minimizza il ritardo di trasferimento perché, essendoci meno overhead dovuto alle informazioni di controllo presenti in ogni PDU, la quantità totale di informazione da inviare è minore","Richiede una intestazione di dimensione maggiore per consentire la gestione di tutta l’informazione contenuta nella PDU","Aumenta il ritardo complessivo di trasferimento dell’informazione perché ogni nodo deve ricevere l’intera PDU prima di poterla inviare sul canale successivo","D","Inviare pacchetti di grandi dimensioni su nodi di tipo Store-And-Forward porta ad un ritardo non trascurabile del trasferimento dell’informazione. Per questo motivo è preferibile mandare pacchetti di piccole dimensioni in modo da minimizzare il tempo di immagazzinamento (Store)."
"Un protocollo Selective Repeat con finestra di trasmissione di dimensione Wt e finestra di ricezione di dimensione Wr","Può funzionare solo se, essendo k il numero di bit di numerazione, si ha","Può funzionare solo se, essendo k il numero di bit di numerazione, si ha","Può funzionare solo se, essendo k il numero di bit di numerazione, si ha","","A","Vedi lucidi “Selective Repeat”."
"Il PPP(Point-to-Point Protocol)","Utilizza un protocollo a finestra di tipo Go-Back-N per il recupero di perdite di unità dati","Utilizza il campo di indirizzo nelle unità dati per distinguere comandi da risposte","Utilizza in modo simile a LaPB (ISDN canale B) la sequenza 01111110 per delimitare le unità dati","","C","Vedi lucidi “Incapsulamento di PDU PPP”."
"Quali delle seguenti prestazioni sono possibili grazie al funzionamento Store-And-Forward in una rete a pacchetto?","La possibilità di avere diverse velocità di trasmissione tra i diversi canali attestati ad uno stesso commutatore.","La riduzione dei ritardi di trasferimento dell’informazione attraverso un nodo di commutazione.","La riduzione della dimensione delle intestazioni dei pacchetti.","La possibilità di usare codifiche di canale di tipo Forward Error Correction","A","Capacità di adattarsi a canali con capacità diverse."
"La differenza tra teleservizi, servizi portanti e servizi supplementari sta nel fatto che","Mentre i servizi portanti offrono soltanto il trasferimento di informazioni tra interfacce utente-rete, i teleservizi coinvolgono le funzioni degli apparati utente secondo protocolli prestabiliti; i servizi supplementari invece modificano o integrano un servizio portante ed un teleservizio","Mentre i teleservizi offrono soltanto il trasferimento di informazioni tra interfacce utente-rete, i servizi portanti coinvolgono le funzioni degli apparati utente secondo protocolli prestabiliti; i servizi supplementari sono servizi speciali per il trasferimento dati","Mentre i servizi portanti offrono soltanto il trasferimento di informazioni tra interfacce utente-rete, i teleservizi coinvolgono le funzioni degli apparati utente secondo protocolli prestabiliti; i servizi supplementari sono servizi speciali per il trasferimento dati","","A","I servizi portanti sono i servizi offerti dalla linea telefonica. E’ detto portante perché è un servizio essenziale senza il quale non possiamo fare tutti gli altri teleservizi. Esso fornisce la possibilità di trasmissione di segnali tra interfaccia utente-rete. I teleservizi sono servizi abilitati dai servizi portanti. Forniscono la completa possibilità di comunicazione tra utenti secondo protocolli prestabiliti. I servizi supplementari integrano o modificano uno o più servizi di base. Vedi lucidi “Classificazione dei servizi di telecomunicazione”."
"Secondo il modello OSI, le funzioni in una rete di telecomunicazioni sono","Operazioni disponibili su di una interfaccia di servizio","Le regole di interazione tra entità appartenenti allo stesso strato architetturale","Operazioni svolte all’interno di uno strato architetturale","","C","Vedi lucidi “Architettura di rete”. La B è la definizione di protocollo di comunicazione: In una rete, le regole che definiscono l’interazione tra elementi di una rete si chiamano protocolli di comunicazione."
"Si consideri un host trasmettitore che utilizza il protocollo TCP ed un ricevitore a velocità infinita, ovvero che dichiara sempre come finestra di ricezione il valore massimo disponibile. Data una finestra corrente al trasmettitore di dimensione pari a 10 segmenti, con una finestra massima del ricevitore pari a 20 segmenti, nel momento in cui il trasmettitore riceve un segmento contenente un ACK da parte del ricevitore, quale tra le seguenti situazioni è possibile?","La finestra corrente al trasmettitore diventa pari a 3 segmenti","La finestra corrente al trasmettitore diventa pari a 51 segmenti","La finestra corrente al trasmettitore diventa pari a 11 segmenti","La finestra corrente al trasmettitore diventa pari a 13 segmenti","C","Ipotizzando che l’ACK ricevuto sia il decimo di quella trasmissione e ipotizzando un TCP con Slow Start, allora la cwnd aumenta di +1 segmenti alla ricezione di ogni ACK."
"Il Domain Name System (DNS)","Permette di assegnare ad un host un indirizzo Ethernet in funzione del suo indirizzo IP","Realizza in termini OSI una funzione di mapping tra (3)-indirizzi e (2)-indirizzi","Consente ad un applicativo di conoscere l’indirizzo IP di un sito web di cui è noto il nome logico","Consente di conoscere la posizione fisica di un host Internet","C","DNS protocollo di livello applicativo composto da 2 elementi fondamentali: la struttura gerarchica e il protocollo applicativo per interagire con questa struttura gerarchica. DNS è un sistema che ci permette di convertire un nome logico di un sito web in un indirizzo IP."
"Dato un numero di nodi e un numero di canali, una topologia T1 per cui la distanza media tra i nodi è più piccola di un’altra topologia T2, in presenza di un traffico uniformemente distribuito,","Consente di smaltire sui canali la stessa quantità di traffico","Consente di smaltire sui canali una quantità di traffico inferiore","Consente di smaltire sui canali una quantità di traffico maggiore","","C","Se la distanza media diminuisce, aumenta il Throughput. “Per traffico uniforme e topologie regolari, il traffico smaltibile è inversamente proporzionale alla distanza media.” Slide 53 Concetti Generali."
"La tecnica di piggybacking nei protocolli a finestra consiste nella possibilità di","Rimandare al trasmettitore eventuali unità dati che hanno subito errori di trasmissione","Concatenare più riscontri in un’unità dati","Trasportare informazione di riscontro e dati d’utente nella stessa unità dati","Far sì che il ricevitore segnali esplicitamente al trasmettitore eventuali perdite di unità dati","C","Il piggybacking consente, nel caso di flussi di informazioni bidirezionali, la possibilità di scrivere l’informazione di riscontro (ACK) nell’intestazione della PDU che viaggia nella direzione opposta. Questo consente un risparmio di ACK."
"Distinguere comandi e risposte nelle trame del protocollo di strato 2 LaPB ha lo scopo di","Capire se è stato inviato un bit Poll o un bit di Final","Capire quale sia il destinatario della trama","Distinguere trame di supervisione da trame di informazione","","C","Il protocollo LAPB appartiene alla famiglia di protocolli HDLC. Esso presenta un frame di supervisione usato per il controllo degli errori e di flusso ad esempio quando si devono mandare solo comandi, risposte e conferme (no dati). Tale frame per definizione non presenta un campo dati."
"In una rete locale (LAN) su topologia a bus con protocollo d’accesso CSMA, la quantità di tempo per cui vari nodi rilevano una collisione tra le trasmissioni di due particolari nodi","È maggiore per i nodi vicini agli estremi del bus e inferiore per i nodi al centro del bus","È la stessa per tutti i nodi nella rete","Dipende dalla posizione dei nodi rispetto ai trasmettitori dei pacchetti che generano la collisione","dipende dalla velocità di propagazione del segnale","C","Vedi lucidi “CSMA”."
"Nel modello OSI, il livello trasporto fornisce servizi","Basandosi sui servizi dal livello applicazione","Basandosi sui servizi forniti dal livello rete","Basandosi sui servizi forniti dal livello sessione","","B","Il livello 4 utilizza i servizi del livello 3 (rete) per fornire i propri servizi ai layer superiori."
"L’intestazione (header) di un pacchetto dati in una rete a commutazione di pacchetto con servizio datagram contiene","Gli indirizzi del nodo sorgente e destinazione","L’indirizzo del nodo destinazione ed un identificatore di connessione","Un identificatore di connessione","L’indirizzo del nodo sorgente ed un identificatore di connessione,","A","Vedi lucidi “IP datagram format”."
"Un router IP dopo aver calcolato l’instradamento","Modifica gli indirizzi IP sorgente e destinazione del datagram","Modifica i campi Time To Live e Header Checksum nell’intestazione del datagram","Modifica esclusivamente il campo Time To Live nell’intestazione del datagram","","B","Se modifico Il Time To Live di conseguenza devo modificare anche l’Header Checksum altrimenti mi verrebbe dato un errore. Questo mi comporta ad escludere la C, mentre la A non ha senso come risposta. (Fonte: Marchetto)"
"Una scheda Ethernet di uno switch elabora (ovvero legge e decide se e come instradare)","Solo i pacchetti con indirizzo MAC di destinazione broadcast","Tutti i pacchetti, indipendentemente dall’indirizzo di destinazione","Solo i pacchetti con indirizzo MAC di destinazione unicast pari a quello dello switch","Solo i pacchetti con indirizzo MAC di destinazione multicast","B","Vedere funzionamento switch."
"Quale tra le seguenti affermazioni è vera? Un host collegato alla rete Internet, nel momento in cui vuole trasmettere/ricevere dati verso/da un qualsiasi altro host della rete Internet, deve conoscere.","Il proprio indirizzo IP e relativa maschera, il proprio indirizzo MAC, l’indirizzo IP del router di default, l’indirizzo IP di un DNS","Solo il proprio indirizzo MAC","Solo il proprio indirizzo IP","","A","Fonte Marchetto."
"Per commutazione si intende","Il trasferimento di informazioni da un punto ad uno o più altri punti","Lo scambio di informazioni che riguardano il controllo e la gestione di una rete di telecomunicazioni","Il processo di interconnessione di risorse per il tempo necessario alla comunicazione","","C","Vedi lucidi “Funzione: commutazione”. La A rappresenta la TRASMISSIONE e la B rappresenta la SEGNALAZIONE."
"Nel modello OSI, il livello rete fornisce servizi","Basandosi sui servizi forniti dal livello applicazione","Basandosi sui servizi forniti dal livello trasporto","Basandosi sui servizi forniti dal livello collegamento","","C","Il livello rete sta sopra il livello di collegamento."
"In un canale radiomobile reale, il fenomeno del fading consiste nella:","Diminuzione della potenza ricevuta, causata dalla distanza tra trasmettitore e ricevitore","Rapida variazione della potenza ricevuta, causata da sorgenti che operano alla stessa frequenza","Diminuzione della potenza ricevuta, causata da sorgenti atmosferici quali pioggia e neve","Rapida variazione della potenza ricevuta, causata dalla presenza di ostacoli in movimento","D","Vedi lucidi “Canale radio (mobile) reale”."
"Nell’intestazione (header) IP, ovvero nella PCI del protocollo IP, sono obbligatoriamente contenuti","L’indirizzo IP di una sorgente e destinazione","La porta di una sorgente e di destinazione","Il campo Window che permette al ricevitore di segnalare la dimensione attuale della finestra di ricezione al trasmettitore","L’indirizzo MAC di sorgente e destinazione","A","Vedi lucidi “IP datagram format”."
"Il protocollo IP","Garantisce un rilevamento dell’errore solo sull’intestazione del datagram","Garantisce un rilevamento dell’errore sull’intestazione e sul contenuto del datagram","Non fornisce alcun tipo di protezione dagli errori","Garantisce un rilevamento dell’errore solo sul contenuto del datagram","A","Il campo Header Checksum (di 16 bit) serve a verificare che lo header IP sia arrivato integro a destinazione. Se durante il trasporto l’header subisce delle modifiche, il checksum risulta diverso e il protocollo IP capisce che c’è stato un errore. Notare che la checksum verifica l’integrità del solo header, e non dei dati trasportati."
"La maggior complessità del protocollo Go-Back-N rispetto al protocollo Stop-And-Wait è dovuta","Alla maggior complessità del trasmettitore","Alla maggiore complessità del ricevitore","Alla maggiore complessità sia del ricevitore che del trasmettitore","Alla gestione dei timeout del ricevitore","A","Dato che al ricevitore Go-Back-N e Stop-And-Wait hanno complessità presso che uguale, al trasmettitore essa risulta più grande, ed è dovuta al fatto che per il primo la finestra di trasmissione è maggiore di uno mentre per il secondo è uguale a uno."
"L’uso di cookies nel protocollo HTTP permette di","Associare fra loro più richieste fatte da uno stesso browser o utente","Mettere in cache le risposte ricevute","Scaricare tutti gli oggetti contenuti in una pagina aprendo una sola connessione TCP","Inviare la risposta al client utilizzando diversi frammenti(Trasferimento Chunked)","A","Vedi lucidi “cookies”."
"In una topologia a maglia completamente connessa con N nodi, il numero di canali bidirezionali è pari a","N(N-1)/2","2N","N-1","N","A","Vedi lucidi “Topologia a maglia”."
"Il protocollo IP fornisce un servizio","Inaffidabile (ovvero senza garanzia di consegna) e connectionless","Affidabile (ovvero con garanzia di consegna) e connectionless","Inaffidabile (ovvero senza garanzia di consegna) e connection oriented","","A","IP è un protocollo a pacchetti senza connessione (connectionless) e di tipo best effort, che non garantisce cioè alcuna forma affidabile della comunicazione in termini di controllo di errore, controllo di flusso e controllo di congestione. (Fonte Wikipedia)"
"Rispetto al protocollo IP, il protocollo UDP","Non aggiunge nulla","Aggiunge la capacità di trasportare messaggi distinguendo tra processi applicativi diversi sullo stesso host","Permette un trasporto affidabile dell’informazione","","B","Per definizione UDP è inaffidabile (connectionless), effettua multiplazione e demultiplazione."
"Il CIDR (Classless Inter Domain Routing), basato sull’uso delle netmasks (maschere) negli indirizzi IP, è una tecnica utilizzata al fine di","Diminuire il tempo di convergenza dei protocolli di routing","Utilizzare in modo efficiente lo spazio di indirizzamento IP","Evitare la formazione di routing loop nell’instradamento","","B","fonte Quora : “A CIDR IP address looks like a normal IP address except that it ends with a slash followed by a number, called the IP network prefix (e.g.-255.255.255.240/24) CIDR addresses reduce the size of routing tables and make more IP addresses available within organizations.”"
"Quali delle seguenti codifiche di linea è più efficiente, ossia richiede un bit rate meno elevato a livello fisico a parità di tasso di informazione trasmesso?","Codifica 4B5B","Codifica 64B66B","Codifica 8B10B","","B","Se ogni 4B invio 5B, per mantenere un Throughput costante devo aumentare la velocità di trasmissione di un fattore 5/4, stessa cosa per gli altri. Una codifica 64/66 mi permette di aumentare di un piccolissimo fattore 66/64, quindi richiede un bit rate meno elevato. (1.03 volte il bit rate iniziale, rispetto a 1.25 delle altre 2 codifiche.)"
"La rete di accesso DSL separa dati e fonia sullo stesso mezzo trasmissivo tra gli apparati utente e apparati di centrale usando:","Multiplazione di tempo","Accesso multiplo a divisione di frequenza-i","Accesso multiplo a divisione di tempo","Multiplazione di frequenza","D","Viene infatti utilizzato un filtro adsl sia da lato utente che da lato centrale proprio per dividere in frequenza voce e dati e non darsi disturbo tra di loro. Se vai a vedere, un filtro adsl è composto da un filtro passa-basso per la fonia."
"Il protocollo Stop-And-Wait","Può funzionare solo usando più di un bit di numerazione","Può funzionare usando un numero di bit di numerazione maggiore o uguale ad 1","Può solo funzionare usando un unico bit di numerazione","Può funzionare solo usando un numero di bit di numerazione inferiore alla dimensione della finestra di trasmissione","B","Per definizione, nel protocollo Stop-And-Wait si riducono le possibilità di malfunzionamento usando un maggior numero di bit per la numerazione oppure un tempo di vita massimo per le PDU e gli ACK. +"
